mission,probability_planet,decision,orbital_period_days,transit_duration_hours,transit_depth_ppm,planet_radius_rearth,impact_param,snr,stellar_teff_k,stellar_logg_cgs,stellar_radius_rsun,stellar_metallicity,fpflag_nt,fpflag_ss,fpflag_co,fpflag_ec,mission
Kepler,0.9879710144927536,CONFIRMED(model),56.0560754,4.685,1626.0,1.94,0.018,27.4,3593.0,4.757,0.491,0.26,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9380090497737557,CONFIRMED(model),41.408316686,5.0264,22838.9,11.38,0.377,907.8,5522.0,4.586,0.747,-0.46,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),5.715425977,2.5242,908.1,2.47,0.348,59.4,5237.0,4.572,0.826,0.24,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9866666666666667,CONFIRMED(model),49.18394185,11.3364,1646.2,8.2,0.035,355.7,5626.0,3.907,2.057,0.36,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9827863121894073,CONFIRMED(model),20.0261412,1.611,421.2,2.28,0.957,10.7,5237.0,4.572,0.826,0.24,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),2.237489571,1.8119,315.8,1.41,0.128,30.7,5265.0,4.58,0.81,0.14,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9932768361581921,CONFIRMED(model),3.167893418,2.1814,781.2,2.62,0.026,64.8,5895.0,4.503,0.94,-0.02,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),4.311780262,2.7251,1154.0,3.11,0.196,86.1,5527.0,4.484,0.927,0.16,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),20.0504494,4.556,840.9,2.69,0.383,37.8,5527.0,4.484,0.927,0.16,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9777777777777779,CONFIRMED(model),9.76734503,1.6585,569.1,2.67,0.9,21.1,5527.0,4.484,0.927,0.16,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9653535353535354,CONFIRMED(model),190.3200468,15.284,1141.7,7.78,0.812,139.3,5626.0,3.907,2.057,0.36,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),26.44439337,3.9783,1843.5,3.91,0.03,88.0,5427.0,4.463,0.929,0.16,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),51.53997972,6.3994,3644.3,5.51,0.183,155.5,5427.0,4.463,0.929,0.16,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),5.902245782,2.9003,702.3,2.43,0.209,59.3,5427.0,4.463,0.929,0.16,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),2.382951591,1.8876,391.6,1.86,0.479,41.4,5427.0,4.463,0.929,0.16,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),21.02250608,4.1072,1772.5,3.07,0.036,62.4,5067.0,4.585,0.75,-0.08,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),3.219814777,2.0642,488.2,1.69,0.06,30.5,5103.0,4.562,0.787,0.04,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9966101694915255,CONFIRMED(model),5.912273234,2.3254,961.4,1.73,0.17,62.8,4072.0,4.696,0.57,-0.18,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),8.98581901,2.8606,881.3,1.65,0.008,51.8,4072.0,4.696,0.57,-0.18,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9879710144927536,CONFIRMED(model),33.60123371,4.4056,7425.9,8.46,0.67,247.9,5149.0,4.447,0.93,0.42,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),6.76652928,2.9004,450.7,1.97,0.429,29.2,5149.0,4.447,0.93,0.42,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),4.347288783,2.1024,451.6,2.36,0.025,39.7,5754.0,4.345,1.122,0.16,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),4.601811819,2.2607,755.9,2.35,0.567,60.8,4986.0,4.496,0.833,0.16,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),11.18719905,3.252,353.6,1.55,0.387,21.9,4986.0,4.496,0.833,0.16,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9879710144927536,CONFIRMED(model),4.220965778,3.0854,2260.0,2.62,0.705,157.8,3837.0,4.747,0.517,-0.06,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),5.95489993,2.3892,1410.7,2.33,0.327,87.2,4261.0,4.641,0.633,-0.06,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),12.03987488,2.7363,1250.6,2.18,0.286,57.6,4261.0,4.641,0.633,-0.06,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9845811839842791,CONFIRMED(model),20.83762895,2.3734,439.0,1.42,0.706,14.9,4261.0,4.641,0.633,-0.06,0.0,0.0,0.0,0.0,Kepler
